ID_SENSOR,FECHA_MEDIDA,LECTURA,MEDIDA
25466,2022-08-24 22:06:23,179415.2205519430000,0.0
25466,2022-08-24 23:07:56,179415.2207919430000,0.23999999393709004
25466,2022-08-25 00:09:20,179415.2208119430000,0.26000000070780516
25466,2022-08-25 01:05:32,179415.2207019430000,0.1500000071246177
25466,2022-08-25 02:06:52,179415.2210119430000,0.4600000102072954
25466,2022-08-25 03:08:15,179415.2206519430000,0.10000000474974513
25466,2022-08-25 04:09:37,179415.2206219430000,0.07000000914558768
25466,2022-08-25 05:05:45,179415.2210819430000,0.5299999902490526
25466,2022-08-25 06:07:14,179415.2208919430000,0.33999999868683517
25466,2022-08-25 07:08:38,179415.2210419430000,0.49000000581145287
25466,2022-08-25 08:04:56,179415.2208219430000,0.2699999895412475
25466,2022-08-25 09:06:11,179415.2211119430000,0.5600000149570405
25466,2022-08-25 10:07:53,179415.2204719430000,-0.07999999797903001
25466,2022-08-25 11:09:17,179415.2203219430000,-0.2300000051036477
25466,2022-08-25 12:05:32,179415.2205919430000,0.040000013541430235
25466,2022-08-25 13:06:49,179415.22051,-0.04
25466,2022-08-25 14:08:16,179415.22045,-0.10
25466,2022-08-25 15:09:43,179415.22027,-0.28
25466,2022-08-25 16:05:54,179415.22034,-0.21
25466,2022-08-25 17:07:28,179415.22055,0.00
25466,2022-08-25 18:08:57,179415.22055,0.00
25466,2022-08-25 19:05:17,179415.22009,-0.46
25466,2022-08-25 20:06:51,179415.22058,0.03
25466,2022-08-25 21:08:18,179415.22066,0.11
25466,2022-08-25 22:04:46,179415.22068,0.13
25466,2022-08-25 23:06:04,179415.22071,0.16
25466,2022-08-26 00:07:37,179415.22067,0.12
25466,2022-08-26 01:09:06,179415.22071,0.16
25466,2022-08-26 02:05:26,179415.22073,0.18
25466,2022-08-26 03:07:33,179415.22093,0.38
25466,2022-08-26 04:09:08,179415.22068,0.13
25466,2022-08-26 05:05:24,179415.22092,0.37
25466,2022-08-26 06:06:42,179415.22087,0.32
25466,2022-08-26 07:08:09,179415.22082,0.27
25466,2022-08-26 08:09:33,179415.22098,0.43
25466,2022-08-26 09:05:45,179415.22071,0.16
25466,2022-08-26 10:07:06,179415.22064,0.09
25466,2022-08-26 11:08:34,179415.22070,0.15
25466,2022-08-26 12:04:54,179415.22075,0.20
25466,2022-08-26 13:06:06,179415.22049,-0.06
25466,2022-08-26 14:07:38,179415.22068,0.13
25466,2022-08-26 15:09:14,179415.22058,0.03
25466,2022-08-26 16:05:28,179415.22070,0.15
25466,2022-08-26 17:06:52,179415.22054,-0.01
25466,2022-08-26 18:08:22,179415.22063,0.08
25466,2022-08-26 19:04:44,179415.22051,-0.04
25466,2022-08-26 20:05:59,179415.22046,-0.09
25466,2022-08-26 21:07:28,179415.22073,0.18
25466,2022-08-26 22:08:53,179415.22058,0.03
25466,2022-08-26 23:05:12,179415.22078,0.23
25466,2022-08-27 00:06:25,179415.22071,0.16
25466,2022-08-27 01:07:46,179415.22082,0.27
25466,2022-08-27 02:09:13,179415.22099,0.44
25466,2022-08-27 03:05:28,179415.22081,0.26
25466,2022-08-27 04:06:37,179415.22080,0.25
25466,2022-08-27 05:08:03,179415.22097,0.42
25466,2022-08-27 06:09:25,179415.22076,0.21
25466,2022-08-27 07:05:37,179415.22072,0.17
25466,2022-08-27 08:06:49,179415.22117,0.62
25466,2022-08-27 09:08:12,179415.22059,0.04
25466,2022-08-27 10:09:42,179415.22035,-0.20
25466,2022-08-27 11:05:54,179415.22064,0.09
25466,2022-08-27 12:07:04,179415.22056,0.01
25466,2022-08-27 13:08:37,179415.22065,0.10
25466,2022-08-27 14:04:51,179415.22079,0.24
25466,2022-08-27 15:06:07,179415.22030,-0.25
25466,2022-08-27 16:07:27,179415.22068,0.13
25466,2022-08-27 17:08:54,179415.22075,0.20
25466,2022-08-27 18:05:11,179415.22060,0.05
25466,2022-08-27 19:06:24,179415.22032,-0.23
25466,2022-08-27 20:07:47,179415.22024,-0.31
25466,2022-08-27 21:09:15,179415.22059,0.04
25466,2022-08-27 22:05:32,179415.22097,0.42
25466,2022-08-27 23:06:45,179415.22084,0.29
25466,2022-08-28 00:07:59,179415.22076,0.21
25466,2022-08-28 01:09:22,179415.22084,0.29
25466,2022-08-28 02:05:38,179415.22112,0.57
25466,2022-08-28 03:06:54,179415.22101,0.46
25466,2022-08-28 04:08:18,179415.22091,0.36
25466,2022-08-28 05:09:37,179415.22069,0.14
25466,2022-08-28 06:05:45,179415.22093,0.38
25466,2022-08-28 07:06:56,179415.22081,0.26
25466,2022-08-28 08:08:24,179415.22115,0.60
25466,2022-08-28 09:09:47,179415.22092,0.37
25466,2022-08-28 10:06:00,179415.22079,0.24
25466,2022-08-28 11:07:11,179415.22081,0.26
25466,2022-08-28 12:08:35,179415.22094,0.39
25466,2022-08-28 13:04:59,179415.22058,0.03
25466,2022-08-28 14:06:12,179415.22062,0.07
25466,2022-08-28 15:07:25,179415.22081,0.26
25466,2022-08-28 16:08:44,179415.22039,-0.16
25466,2022-08-28 17:05:03,179415.22085,0.30
25466,2022-08-28 18:06:16,179415.22054,-0.01
25466,2022-08-28 19:07:30,179415.22053,-0.02
25466,2022-08-28 20:08:55,179415.22068,0.13
25466,2022-08-28 21:05:14,179415.22077,0.22
25466,2022-08-28 22:06:29,179415.22091,0.36
25466,2022-08-28 23:07:46,179415.22076,0.21
25466,2022-08-29 00:09:09,179415.22051,-0.04
25466,2022-08-29 01:05:24,179415.22063,0.08
25466,2022-08-29 02:06:40,179415.22061,0.06
25466,2022-08-29 03:08:08,179415.22063,0.08
25466,2022-08-29 04:09:35,179415.22092,0.37
25466,2022-08-29 05:05:52,179415.22073,0.18
25466,2022-08-29 06:07:22,179415.22093,0.38
25466,2022-08-29 07:08:58,179415.22086,0.31
25466,2022-08-29 08:05:16,179415.22117,0.62
25466,2022-08-29 09:06:33,179415.22062,0.07
25466,2022-08-29 10:08:00,179415.22048,-0.07
25466,2022-08-29 11:09:34,179415.22094,0.39
25466,2022-08-29 12:06:00,179415.22078,0.23
25466,2022-08-29 13:07:37,179415.22066,0.11
25466,2022-08-29 14:09:13,179415.22031,-0.24
25466,2022-08-29 15:06:16,179415.22065,0.10
25466,2022-08-29 16:08:11,179415.22044,-0.11
25466,2022-08-29 17:04:57,179415.22058,0.03
25466,2022-08-29 18:06:38,179415.22069,0.14
25466,2022-08-29 19:08:13,179415.22070,0.15
25466,2022-08-29 20:04:51,179415.22064,0.09
25466,2022-08-29 21:06:27,179415.22081,0.26
25466,2022-08-29 22:08:15,179415.22081,0.26
25466,2022-08-29 23:09:42,179415.22070,0.15
25466,2022-08-30 00:05:56,179415.22083,0.28
25466,2022-08-30 01:07:48,179415.22074,0.19
25466,2022-08-30 02:09:25,179415.22098,0.43
25466,2022-08-30 03:05:47,179415.22108,0.53
25466,2022-08-30 04:07:42,179415.22100,0.45
25466,2022-08-30 05:09:16,179415.22074,0.19
